dataset,instance,num_nodes,team_size,runs,reference_best_score,best_score,mean_score,std_score,mean_cpu_time_seconds,median_cpu_time_seconds,mean_iterations_to_convergence,success_rate_percent,mean_gap_to_reference_best_percent,max_gap_to_reference_best_percent
chao,p4.2.a.txt,100,2,2,194.0,194.0,194.0,0.0,0.052515500000026805,0.052515500000026805,1.5,100.0,0.0,0.0
chao,p4.2.b.txt,100,2,2,321.0,321.0,321.0,0.0,0.07317725000029895,0.07317725000029895,13.0,100.0,0.0,0.0
chao,p4.2.c.txt,100,2,2,432.0,432.0,411.0,29.698484809834994,0.10941744999990988,0.10941744999990988,9.5,50.0,4.861111111111112,9.722222222222223
chao,p4.2.d.txt,100,2,2,518.0,518.0,506.0,16.97056274847714,0.14838085000064893,0.14838085000064893,16.5,50.0,2.3166023166023164,4.633204633204633
chao,p4.2.e.txt,100,2,2,606.0,606.0,601.0,7.0710678118654755,0.17184429999952044,0.17184429999952044,8.0,50.0,0.825082508250825,1.65016501650165
chao,p4.2.f.txt,100,2,2,654.0,654.0,651.5,3.5355339059327378,0.1893779000001814,0.1893779000001814,18.0,50.0,0.382262996941896,0.764525993883792
chao,p4.2.g.txt,100,2,2,721.0,721.0,718.5,3.5355339059327378,0.22124574999998003,0.22124574999998003,11.5,50.0,0.34674063800277394,0.6934812760055479
chao,p4.2.h.txt,100,2,2,771.0,771.0,764.5,9.192388155425117,0.24062964999984615,0.24062964999984615,11.0,50.0,0.8430609597924773,1.6861219195849546
chao,p4.2.i.txt,100,2,2,840.0,840.0,820.0,28.284271247461902,0.27609219999931156,0.27609219999931156,9.5,50.0,2.380952380952381,4.761904761904762
chao,p4.2.j.txt,100,2,2,896.0,896.0,889.0,9.899494936611665,0.2766406499999903,0.2766406499999903,10.5,50.0,0.78125,1.5625
chao,p4.2.k.txt,100,2,2,951.0,951.0,938.0,18.384776310850235,0.31864325000015015,0.31864325000015015,5.5,50.0,1.3669821240799158,2.7339642481598316
chao,p4.2.l.txt,100,2,2,1009.0,1009.0,1002.5,9.192388155425117,0.3028485000004366,0.3028485000004366,12.0,50.0,0.6442021803766105,1.288404360753221
chao,p4.2.m.txt,100,2,2,1083.0,1083.0,1078.0,7.0710678118654755,0.34372634999954244,0.34372634999954244,17.5,50.0,0.46168051708217916,0.9233610341643583
chao,p4.2.n.txt,100,2,2,1103.0,1103.0,1084.5,26.16295090390226,0.3836812499998814,0.3836812499998814,18.0,50.0,1.6772438803263827,3.3544877606527654
chao,p4.2.o.txt,100,2,2,1149.0,1149.0,1142.0,9.899494936611665,0.5395697499998278,0.5395697499998278,15.5,50.0,0.6092254134029591,1.2184508268059182
chao,p4.2.p.txt,100,2,2,1178.0,1178.0,1174.0,5.656854249492381,0.4493677000000389,0.4493677000000389,16.5,50.0,0.3395585738539898,0.6791171477079796
chao,p4.2.q.txt,100,2,2,1206.0,1206.0,1199.0,9.899494936611665,0.3555233000001863,0.3555233000001863,12.5,50.0,0.5804311774461027,1.1608623548922055
chao,p4.2.r.txt,100,2,2,1205.0,1205.0,1200.0,7.0710678118654755,0.37143285000001924,0.37143285000001924,18.0,50.0,0.4149377593360996,0.8298755186721992
chao,p4.2.s.txt,100,2,2,1276.0,1276.0,1262.0,19.79898987322333,0.377682399999685,0.377682399999685,9.0,50.0,1.09717868338558,2.19435736677116
chao,p4.2.t.txt,100,2,2,1295.0,1295.0,1289.5,7.7781745930520225,0.38243659999989177,0.38243659999989177,12.0,50.0,0.42471042471042475,0.8494208494208495
chao,p4.3.a.txt,100,3,2,0.0,0.0,0.0,0.0,0.008222299999943061,0.008222299999943061,0.0,100.0,0.0,0.0
chao,p4.3.b.txt,100,3,2,38.0,38.0,38.0,0.0,0.02734150000014779,0.02734150000014779,0.0,100.0,0.0,0.0
chao,p4.3.c.txt,100,3,2,193.0,193.0,190.0,4.242640687119285,0.07791240000005928,0.07791240000005928,13.5,50.0,1.5544041450777202,3.1088082901554404
chao,p4.3.d.txt,100,3,2,335.0,335.0,328.5,9.192388155425117,0.12152935000040088,0.12152935000040088,17.0,50.0,1.9402985074626864,3.880597014925373
chao,p4.3.e.txt,100,3,2,460.0,460.0,460.0,0.0,0.15233125000077052,0.15233125000077052,7.0,100.0,0.0,0.0
chao,p4.3.f.txt,100,3,2,559.0,559.0,537.0,31.11269837220809,0.18070019999959186,0.18070019999959186,19.5,50.0,3.9355992844364938,7.8711985688729875
chao,p4.3.g.txt,100,3,2,622.0,622.0,602.0,28.284271247461902,0.21613654999964638,0.21613654999964638,13.5,50.0,3.215434083601286,6.430868167202572
chao,p4.3.h.txt,100,3,2,673.0,673.0,663.0,14.142135623730951,0.26725334999946426,0.26725334999946426,16.0,50.0,1.4858841010401187,2.9717682020802374
