dataset,instance,run_index,run_seed,num_nodes,team_size,max_route_distance,total_score,reference_best_score,gap_to_reference_best_percent,success_reference_hit,cpu_time_seconds,iterations,iterations_to_convergence,last_improvement_iteration,stagnation_iterations,accepted_worse_moves,restarts_performed,num_lp_solves,num_labels_generated,status
chao,p4.2.a.txt,0,7,100,2,25.0,194.0,194.0,0.0,1,0.05337630000030913,20,3,3,17,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.a.txt,1,8,100,2,25.0,194.0,194.0,0.0,1,0.05165469999974448,20,0,0,20,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.b.txt,0,1007,100,2,30.0,321.0,321.0,0.0,1,0.06881280000015977,20,20,20,0,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.b.txt,1,1008,100,2,30.0,321.0,321.0,0.0,1,0.07754170000043814,20,6,6,14,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.c.txt,0,2007,100,2,35.0,390.0,432.0,9.722222222222223,0,0.10523180000018328,20,9,9,11,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.c.txt,1,2008,100,2,35.0,432.0,432.0,0.0,1,0.11360309999963647,20,10,10,10,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.d.txt,0,3007,100,2,40.0,494.0,518.0,4.633204633204633,0,0.13667440000062925,20,13,13,7,3,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.d.txt,1,3008,100,2,40.0,518.0,518.0,0.0,1,0.16008730000066862,20,20,20,0,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.e.txt,0,4007,100,2,45.0,606.0,606.0,0.0,1,0.16615169999931823,20,11,11,9,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.e.txt,1,4008,100,2,45.0,596.0,606.0,1.65016501650165,0,0.17753689999972266,20,5,5,15,4,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.f.txt,0,5007,100,2,50.0,654.0,654.0,0.0,1,0.19186760000047798,20,17,17,3,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.f.txt,1,5008,100,2,50.0,649.0,654.0,0.764525993883792,0,0.18688819999988482,20,19,19,1,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.g.txt,0,6007,100,2,55.0,716.0,721.0,0.6934812760055479,0,0.22033639999972365,20,16,16,4,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.g.txt,1,6008,100,2,55.0,721.0,721.0,0.0,1,0.22215510000023642,20,7,7,13,2,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.h.txt,0,7007,100,2,60.0,771.0,771.0,0.0,1,0.22995329999957903,20,8,8,12,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.h.txt,1,7008,100,2,60.0,758.0,771.0,1.6861219195849546,0,0.25130600000011327,20,14,14,6,2,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.i.txt,0,8007,100,2,65.0,800.0,840.0,4.761904761904762,0,0.26608799999939947,20,15,15,5,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.i.txt,1,8008,100,2,65.0,840.0,840.0,0.0,1,0.28609639999922365,20,4,4,16,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.j.txt,0,9007,100,2,70.0,896.0,896.0,0.0,1,0.27809140000044863,20,6,6,14,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.j.txt,1,9008,100,2,70.0,882.0,896.0,1.5625,0,0.2751898999995319,20,15,15,5,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.k.txt,0,10007,100,2,75.0,951.0,951.0,0.0,1,0.3039300999998886,20,7,7,13,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.k.txt,1,10008,100,2,75.0,925.0,951.0,2.7339642481598316,0,0.33335640000041167,20,4,4,16,3,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.l.txt,0,11007,100,2,80.0,1009.0,1009.0,0.0,1,0.30163100000027043,20,4,4,16,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.l.txt,1,11008,100,2,80.0,996.0,1009.0,1.288404360753221,0,0.3040660000006028,20,20,20,0,3,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.m.txt,0,12007,100,2,85.0,1073.0,1083.0,0.9233610341643583,0,0.34085699999923236,20,18,18,2,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.m.txt,1,12008,100,2,85.0,1083.0,1083.0,0.0,1,0.3465956999998525,20,17,17,3,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.n.txt,0,13007,100,2,90.0,1066.0,1103.0,3.3544877606527654,0,0.36265149999962887,20,18,18,2,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.n.txt,1,13008,100,2,90.0,1103.0,1103.0,0.0,1,0.40471100000013394,20,18,18,2,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.o.txt,0,14007,100,2,95.0,1135.0,1149.0,1.2184508268059182,0,0.6018986999997651,20,12,12,8,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.o.txt,1,14008,100,2,95.0,1149.0,1149.0,0.0,1,0.47724079999989044,20,19,19,1,4,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.p.txt,0,15007,100,2,100.0,1170.0,1178.0,0.6791171477079796,0,0.5158362000001944,20,14,14,6,2,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.p.txt,1,15008,100,2,100.0,1178.0,1178.0,0.0,1,0.3828991999998834,20,19,19,1,1,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.q.txt,0,16007,100,2,105.0,1206.0,1206.0,0.0,1,0.3568042000006244,20,17,17,3,0,1,N/A (ILS),N/A (ILS),ok
chao,p4.2.q.txt,1,16008,100,2,105.0,1192.0,1206.0,1.1608623548922055,0,0.35424239999974816,20,8,8,12,1,1,N/A (ILS),N/A (ILS),ok
