dataset,instance,score,gap_to_reference_best_percent
chao,p4.2.a.txt,153.0,0.0
chao,p4.2.b.txt,214.0,0.0
chao,p4.2.c.txt,269.0,0.0
chao,p4.2.d.txt,302.0,0.0
chao,p4.2.e.txt,337.0,0.0
chao,p4.2.f.txt,350.0,0.0
chao,p4.2.g.txt,350.0,0.0
chao,p4.2.h.txt,350.0,0.0
chao,p4.2.i.txt,350.0,0.0
chao,p4.2.j.txt,350.0,0.0
chao,p4.2.k.txt,350.0,0.0
chao,p4.2.l.txt,350.0,0.0
chao,p4.2.m.txt,350.0,0.0
chao,p4.2.n.txt,350.0,0.0
chao,p4.2.o.txt,350.0,0.0
chao,p4.2.p.txt,350.0,0.0
chao,p4.2.q.txt,350.0,0.0
chao,p4.2.r.txt,350.0,0.0
chao,p4.2.s.txt,350.0,0.0
chao,p4.2.t.txt,350.0,0.0
chao,p4.3.a.txt,0.0,0.0
chao,p4.3.b.txt,38.0,0.0
chao,p4.3.c.txt,150.0,0.0
chao,p4.3.d.txt,264.0,0.0
chao,p4.3.e.txt,261.0,0.0
chao,p4.3.f.txt,304.0,0.0
chao,p4.3.g.txt,353.0,0.0
chao,p4.3.h.txt,349.0,0.0
chao,p4.3.i.txt,378.0,0.0
chao,p4.3.j.txt,385.0,0.0
chao,p4.3.k.txt,398.0,0.0
chao,p4.3.l.txt,398.0,0.0
chao,p4.3.m.txt,398.0,0.0
chao,p4.3.n.txt,398.0,0.0
chao,p4.3.o.txt,398.0,0.0
chao,p4.3.p.txt,398.0,0.0
chao,p4.3.q.txt,398.0,0.0
chao,p4.3.r.txt,398.0,0.0
chao,p4.3.s.txt,398.0,0.0
chao,p4.3.t.txt,398.0,0.0
chao,p4.4.a.txt,0.0,0.0
chao,p4.4.b.txt,0.0,0.0
chao,p4.4.c.txt,0.0,0.0
chao,p4.4.d.txt,38.0,0.0
chao,p4.4.e.txt,181.0,0.0
chao,p4.4.f.txt,214.0,0.0
chao,p4.4.g.txt,340.0,0.0
chao,p4.4.h.txt,305.0,0.0
chao,p4.4.i.txt,467.0,0.0
chao,p4.4.j.txt,361.0,0.0
chao,p4.4.k.txt,386.0,0.0
chao,p4.4.l.txt,394.0,0.0
chao,p4.4.m.txt,420.0,0.0
chao,p4.4.n.txt,432.0,0.0
chao,p4.4.o.txt,433.0,0.0
chao,p4.4.p.txt,446.0,0.0
chao,p4.4.q.txt,446.0,0.0
chao,p4.4.r.txt,446.0,0.0
chao,p4.4.s.txt,446.0,0.0
chao,p4.4.t.txt,446.0,0.0
chao,p5.2.a.txt,0.0,0.0
chao,p5.2.b.txt,20.0,0.0
chao,p5.2.c.txt,40.0,0.0
chao,p5.2.d.txt,80.0,0.0
chao,p5.2.e.txt,170.0,0.0
chao,p5.2.f.txt,190.0,0.0
chao,p5.2.g.txt,320.0,0.0
chao,p5.2.h.txt,390.0,0.0
chao,p5.2.i.txt,435.0,0.0
chao,p5.2.j.txt,560.0,0.0
chao,p5.2.k.txt,620.0,0.0
chao,p5.2.l.txt,700.0,0.0
chao,p5.2.m.txt,800.0,0.0
chao,p5.2.n.txt,800.0,0.0
chao,p5.2.o.txt,800.0,0.0
chao,p5.2.p.txt,800.0,0.0
chao,p5.2.q.txt,800.0,0.0
chao,p5.2.r.txt,800.0,0.0
chao,p5.2.s.txt,800.0,0.0
chao,p5.2.t.txt,800.0,0.0
chao,p5.2.u.txt,800.0,0.0
chao,p5.2.v.txt,800.0,0.0
chao,p5.2.w.txt,800.0,0.0
chao,p5.2.x.txt,800.0,0.0
chao,p5.2.y.txt,800.0,0.0
chao,p5.2.z.txt,800.0,0.0
chao,p5.3.a.txt,0.0,0.0
chao,p5.3.b.txt,15.0,0.0
chao,p5.3.c.txt,20.0,0.0
chao,p5.3.d.txt,60.0,0.0
chao,p5.3.e.txt,85.0,0.0
chao,p5.3.f.txt,110.0,0.0
chao,p5.3.g.txt,160.0,0.0
chao,p5.3.h.txt,230.0,0.0
chao,p5.3.i.txt,255.0,0.0
chao,p5.3.j.txt,380.0,0.0
chao,p5.3.k.txt,385.0,0.0
chao,p5.3.l.txt,460.0,0.0
chao,p5.3.m.txt,510.0,0.0
chao,p5.3.n.txt,755.0,0.0
chao,p5.3.o.txt,630.0,0.0
chao,p5.3.p.txt,650.0,0.0
chao,p5.3.q.txt,720.0,0.0
chao,p5.3.r.txt,770.0,0.0
chao,p5.3.s.txt,1140.0,0.0
chao,p5.3.t.txt,870.0,0.0
chao,p5.3.u.txt,1220.0,0.0
chao,p5.3.v.txt,1240.0,0.0
chao,p5.3.w.txt,900.0,0.0
chao,p5.3.x.txt,1240.0,0.0
chao,p5.3.y.txt,910.0,0.0
chao,p5.3.z.txt,910.0,0.0
chao,p5.4.a.txt,0.0,0.0
chao,p5.4.b.txt,0.0,0.0
chao,p5.4.c.txt,20.0,0.0
chao,p5.4.d.txt,20.0,0.0
chao,p5.4.e.txt,20.0,0.0
chao,p5.4.f.txt,80.0,0.0
chao,p5.4.g.txt,130.0,0.0
chao,p5.4.h.txt,140.0,0.0
chao,p5.4.i.txt,190.0,0.0
chao,p5.4.j.txt,270.0,0.0
chao,p5.4.k.txt,310.0,0.0
chao,p5.4.l.txt,320.0,0.0
chao,p5.4.m.txt,390.0,0.0
chao,p5.4.n.txt,460.0,0.0
chao,p5.4.o.txt,455.0,0.0
chao,p5.4.p.txt,530.0,0.0
chao,p5.4.q.txt,580.0,0.0
chao,p5.4.r.txt,590.0,0.0
chao,p5.4.s.txt,650.0,0.0
chao,p5.4.t.txt,700.0,0.0
chao,p5.4.u.txt,710.0,0.0
chao,p5.4.v.txt,780.0,0.0
chao,p5.4.w.txt,1040.0,0.0
chao,p5.4.x.txt,840.0,0.0
chao,p5.4.y.txt,1500.0,0.0
chao,p5.4.z.txt,940.0,0.0
chao,p6.2.a.txt,0.0,0.0
chao,p6.2.b.txt,0.0,0.0
chao,p6.2.c.txt,0.0,0.0
chao,p6.2.d.txt,192.0,0.0
chao,p6.2.e.txt,324.0,0.0
chao,p6.2.f.txt,384.0,0.0
chao,p6.2.g.txt,504.0,0.0
chao,p6.2.h.txt,612.0,0.0
chao,p6.2.i.txt,696.0,0.0
chao,p6.2.j.txt,696.0,0.0
chao,p6.2.k.txt,696.0,0.0
chao,p6.2.l.txt,696.0,0.0
chao,p6.2.m.txt,696.0,0.0
chao,p6.2.n.txt,696.0,0.0
chao,p6.3.a.txt,0.0,0.0
chao,p6.3.b.txt,0.0,0.0
chao,p6.3.c.txt,0.0,0.0
chao,p6.3.d.txt,0.0,0.0
chao,p6.3.e.txt,0.0,0.0
chao,p6.3.f.txt,0.0,0.0
chao,p6.3.g.txt,270.0,0.0
chao,p6.3.h.txt,348.0,0.0
chao,p6.3.i.txt,438.0,0.0
chao,p6.3.j.txt,462.0,0.0
chao,p6.3.k.txt,564.0,0.0
chao,p6.3.l.txt,678.0,0.0
chao,p6.3.m.txt,726.0,0.0
chao,p6.3.n.txt,780.0,0.0
chao,p6.4.a.txt,0.0,0.0
chao,p6.4.b.txt,0.0,0.0
chao,p6.4.c.txt,0.0,0.0
chao,p6.4.d.txt,0.0,0.0
chao,p6.4.e.txt,0.0,0.0
chao,p6.4.f.txt,0.0,0.0
chao,p6.4.g.txt,0.0,0.0
chao,p6.4.h.txt,0.0,0.0
chao,p6.4.i.txt,0.0,0.0
chao,p6.4.j.txt,288.0,0.0
chao,p6.4.k.txt,372.0,0.0
chao,p6.4.l.txt,462.0,0.0
chao,p6.4.m.txt,528.0,0.0
chao,p6.4.n.txt,540.0,0.0
chao,p7.2.a.txt,30.0,0.0
chao,p7.2.b.txt,64.0,0.0
chao,p7.2.c.txt,96.0,0.0
chao,p7.2.d.txt,136.0,0.0
chao,p7.2.e.txt,178.0,0.0
chao,p7.2.f.txt,201.0,0.0
chao,p7.2.g.txt,247.0,0.0
chao,p7.2.h.txt,290.0,0.0
chao,p7.2.i.txt,314.0,0.0
chao,p7.2.j.txt,314.0,0.0
chao,p7.2.k.txt,314.0,0.0
chao,p7.2.l.txt,314.0,0.0
chao,p7.2.m.txt,314.0,0.0
chao,p7.2.n.txt,314.0,0.0
chao,p7.2.o.txt,314.0,0.0
chao,p7.2.p.txt,314.0,0.0
chao,p7.2.q.txt,314.0,0.0
chao,p7.2.r.txt,314.0,0.0
chao,p7.2.s.txt,314.0,0.0
chao,p7.2.t.txt,314.0,0.0
chao,p7.3.a.txt,0.0,0.0
chao,p7.3.b.txt,46.0,0.0
chao,p7.3.c.txt,79.0,0.0
chao,p7.3.d.txt,101.0,0.0
chao,p7.3.e.txt,165.0,0.0
chao,p7.3.f.txt,185.0,0.0
