dataset,instance,run_index,run_seed,num_nodes,team_size,max_route_distance,total_score,reference_best_score,gap_to_reference_best_percent,success_reference_hit,cpu_time_seconds,iterations,iterations_to_convergence,last_improvement_iteration,stagnation_iterations,accepted_worse_moves,restarts_performed,num_lp_solves,num_labels_generated,status
chao,p4.2.a.txt,0,7,100,2,25.0,153.0,153.0,0.0,1,0.2258996999989904,2,2,2,0,0,0,2,31808,ok
chao,p4.2.b.txt,0,1007,100,2,30.0,214.0,214.0,0.0,1,0.2676720000017667,2,2,2,0,0,0,2,80960,ok
chao,p4.2.c.txt,0,2007,100,2,35.0,269.0,269.0,0.0,1,0.4782937999989372,2,2,2,0,0,0,2,262080,ok
chao,p4.2.d.txt,0,3007,100,2,40.0,302.0,302.0,0.0,1,0.6963068999975803,2,2,2,0,0,0,2,262080,ok
chao,p4.2.e.txt,0,4007,100,2,45.0,337.0,337.0,0.0,1,0.8925823999998101,2,2,2,0,0,0,2,300160,ok
chao,p4.2.f.txt,0,5007,100,2,50.0,350.0,350.0,0.0,1,1.0762565000004543,2,2,2,0,0,0,2,300160,ok
chao,p4.2.g.txt,0,6007,100,2,55.0,350.0,350.0,0.0,1,1.216841800000111,2,2,2,0,0,0,2,300160,ok
chao,p4.2.h.txt,0,7007,100,2,60.0,350.0,350.0,0.0,1,1.3588468999987526,2,2,2,0,0,0,2,300160,ok
chao,p4.2.i.txt,0,8007,100,2,65.0,350.0,350.0,0.0,1,1.3728994999983115,2,2,2,0,0,0,2,300160,ok
chao,p4.2.j.txt,0,9007,100,2,70.0,350.0,350.0,0.0,1,1.3973590999994485,2,2,2,0,0,0,2,300160,ok
chao,p4.2.k.txt,0,10007,100,2,75.0,350.0,350.0,0.0,1,1.4392919999991136,2,2,2,0,0,0,2,300160,ok
chao,p4.2.l.txt,0,11007,100,2,80.0,350.0,350.0,0.0,1,1.4367755999992369,2,2,2,0,0,0,2,300160,ok
chao,p4.2.m.txt,0,12007,100,2,85.0,350.0,350.0,0.0,1,1.5648044000008667,2,2,2,0,0,0,2,300160,ok
chao,p4.2.n.txt,0,13007,100,2,90.0,350.0,350.0,0.0,1,1.4847990999987815,2,2,2,0,0,0,2,300160,ok
chao,p4.2.o.txt,0,14007,100,2,95.0,350.0,350.0,0.0,1,1.472652399999788,2,2,2,0,0,0,2,300160,ok
chao,p4.2.p.txt,0,15007,100,2,100.0,350.0,350.0,0.0,1,1.4468772999971407,2,2,2,0,0,0,2,300160,ok
chao,p4.2.q.txt,0,16007,100,2,105.0,350.0,350.0,0.0,1,1.468623500000831,2,2,2,0,0,0,2,300160,ok
chao,p4.2.r.txt,0,17007,100,2,110.0,350.0,350.0,0.0,1,1.5308912999971653,2,2,2,0,0,0,2,300160,ok
chao,p4.2.s.txt,0,18007,100,2,115.0,350.0,350.0,0.0,1,1.46504350000032,2,2,2,0,0,0,2,300160,ok
